Mu,T2,m,t2w,se,Nmax,hack,rho,k,k.hacked,MhatAll,MhatLoAll,MhatHiAll,MhatCoverAll,MhatPvalAll,MhatNaive,MhatLoNaive,MhatHiNaive,MhatCoverNaive,MhatPvalNaive,methName,MhatCorr,MhatLoCorr,MhatHiCorr,MhatCoverCorr,VhatCorr,kNonaffirmPub,kNonaffirmPubUnhacked,kNonaffirmPubHacked,TheoryExpTstat,MeanTstat,MeanTstatUnhacked,MeanTstatHacked,TheoryVarTstat,EstVarTstat,EstVarTstatUnhacked,EstVarTstatHacked,TheoryExpTstatMarg,tstatMeanMLE,tstatMeanMLELo,tstatMeanMLEHi,tstatMeanMLECover,Mean.yi,Mean.yi.Unhacked,Mean.yi.Hacked,Mean.vi,Mean.vi.Unhacked,Mean.vi.Hacked,dp.k,dp.kAffirm,dp.kNonaffirm,dp.Nrealized
0.1,0,500,0,0.5,1,affirm,0,100,0,0.0997838467835766,-0.000925258101368183,0.200492951668521,0.968,0.148996389629892,0.0997838423285496,0.000406680967214451,0.199161003689885,0.96,0.145476900694643,,0.103917174220141,-0.016136790765967,0.223971139206249,0.952,0.00413970401025602,96.072,96.072,0,0.112533188499263,0.111201005535261,0.111201005535261,,0.837994303893838,0.848173912681374,0.848173912681374,,0.2,0.207834348440282,-0.032273581531934,0.447942278412498,0.952,0.0557286774702191,0.0557286774702191,,0.250138153838969,0.250138153838969,,100,3.928,96.072,1
0.1,0,500,0,0.5,1,affirm,0,100,50,0.0976175700021479,-0.00311680622901644,0.198351946233312,0.958,0.156415808856341,0.137625199507472,-0.0107901421413968,0.286040541156341,0.932,0.17803415470107,,0.100979310620864,-0.069996788712451,0.271955409954179,0.946,0.00179403154905164,47.928,47.928,0,0.112533188499263,0.102826514268928,0.102826514268928,,0.837994303893838,0.844253997978892,0.844253997978892,,0.2,0.201958621241728,-0.139993577424902,0.543910819908357,0.946,0.0516120632131723,0.0516120632131723,,0.250102411253723,0.250102411253723,,51.934,4.006,47.928,1
0.1,0,500,0,0.5,10,affirm,0,100,0,0.0997282392502686,0.0678220209413872,0.13163445755915,0.95,2.14189856293282e-05,0.100573830586422,0.00177018988483828,0.199377471288005,0.944,0.151956784241736,,0.105640938901137,-0.0137344679267136,0.225016345728988,0.956,0.0021183710612312,96.166,96.166,0,0.112533188499263,0.115621016853768,0.115621016853768,,0.837994303893838,0.842242066903378,0.842242066903378,,0.2,0.211281877802274,-0.0274689358534271,0.450032691457975,0.956,0.0580050200478544,0.0580050200478544,,0.250074076930919,0.250074076930919,,100,3.834,96.166,10
0.1,0,500,0,0.5,10,affirm,0,100,50,0.100693959704839,0.0674493211158198,0.133938598293858,0.956,7.74523954443285e-06,0.365530063973432,0.207668537612962,0.523391590333902,0.066,0.000829684948875203,,0.10549314722845,-0.0657367700744681,0.276723064531368,0.958,0.00224897740264355,47.994,47.994,0,0.112533188499263,0.110728164316514,0.110728164316514,,0.837994303893838,0.843931912656789,0.843931912656789,,0.2,0.2109862944569,-0.131473540148936,0.553446129062736,0.958,0.0554421669454776,0.0554421669454776,,0.250186611661542,0.250186611661542,,66.34,18.346,47.994,8.82906045929356
0.1,0,500,0,0.5,10,affirm,0.9,100,0,0.0998617393659168,0.0680706808535478,0.131652797878286,0.964,4.39045591741214e-06,0.101417280471967,0.00266857024148246,0.200165990702452,0.952,0.146960210456422,,0.10150689295494,-0.0156709035291717,0.218684689439051,0.952,-0.00314907674760274,96.008,96.008,0,0.112533188499263,0.112563444663913,0.112563444663913,,0.837994303893838,0.830502247822688,0.830502247822688,,0.2,0.203013785909879,-0.0313418070583435,0.437369378878102,0.952,0.0563215692665499,0.0563215692665499,,0.250098104967433,0.250098104967433,,100,3.992,96.008,10
0.1,0,500,0,0.5,10,affirm,0.9,100,50,0.101611448318437,0.0683508393038805,0.134872057332994,0.954,9.36365248289922e-06,0.367242582589896,0.20957416094222,0.524911004237573,0.064,0.00081097544058102,,0.103341071410003,-0.0655687486623778,0.272250891482384,0.946,-0.00253367473381904,47.916,47.916,0,0.112533188499263,0.110070424911978,0.110070424911978,,0.837994303893838,0.832329204026749,0.832329204026749,,0.2,0.206682142820006,-0.131137497324756,0.544501782964768,0.946,0.0551445593622566,0.0551445593622566,,0.250161959615021,0.250161959615021,,66.376,18.46,47.916,8.80937031132413
0.1,0,500,0.25,0.5,1,affirm,0,100,0,0.104004989251199,-0.033348042449263,0.241358020951661,0.942,0.259962741204149,0.104004989246654,-0.03498429939424,0.242994277887548,0.942,0.261739524516311,,0.119057027554315,-0.114051877365886,0.352165932474516,0.958,0.253423364840784,89.556,89.556,0,-0.0897214795510002,-0.076246276647989,-0.076246276647989,,1.40478145413012,1.39445158404761,1.39445158404761,,0.2,0.238114055108631,-0.228103754731772,0.704331864949033,0.958,-0.0378825260090653,-0.0378825260090653,,0.250252247927408,0.250252247927408,,100,10.444,89.556,1
0.1,0,500,0.25,0.5,1,affirm,0,100,50,0.100794809517928,-0.0376719365668406,0.239261555602696,0.96,0.25061387574482,0.219058613787772,0.0136052503974199,0.424511977178125,0.786,0.12214575121945,,0.122801195113543,-0.223598318695941,0.432928136232501,0.925553319919517,0.258023819242192,44.698,44.698,0,-0.0897214795510002,-0.0946484228543427,-0.0946484228543427,,1.40478145413012,1.38158821536074,1.38158821536074,,0.2,0.245602390227087,-0.447196637391882,0.865856272465003,0.925553319919517,-0.0469687776823029,-0.0469687776823029,,0.25018022760712,0.25018022760712,,55.568,10.87,44.698,1
0.1,0,500,0.25,0.5,10,affirm,0,100,0,0.0995853389684443,0.0560265342721605,0.143144143664728,0.954,0.00122362314188645,0.0963496941863275,-0.0432691408172951,0.23596852918995,0.944,0.278508449235528,,0.121048774115391,-0.121484158337832,0.343868864539116,0.963927855711423,0.269531435736719,89.6,89.6,0,-0.0897214795510002,-0.0905876385698921,-0.0905876385698921,,1.40478145413012,1.41818616372842,1.41818616372842,,0.2,0.242097548230781,-0.242968316675664,0.687737729078232,0.963927855711423,-0.0449049098569038,-0.0449049098569038,,0.250077263713861,0.250077263713861,,100,10.4,89.6,10
0.1,0,500,0.25,0.5,10,affirm,0,100,50,0.118648733538781,0.0683386549573581,0.168958812120204,0.88,0.00146011044497534,0.590428660305096,0.410118408533369,0.770738912076824,0,1.07219002855569e-06,,0.128351191091419,-0.218865704628514,0.466178663503621,0.94188376753507,0.263546328248755,44.736,44.736,0,-0.0897214795510002,-0.0821521953397667,-0.0821521953397667,,1.40478145413012,1.40589316330649,1.40589316330649,,0.2,0.256702382182837,-0.437731409257028,0.932357327007242,0.94188376753507,-0.0408921142844788,-0.0408921142844788,,0.250180441673251,0.250180441673251,,83.648,38.912,44.736,7.83915016179411
0.1,0,500,0.25,0.5,10,affirm,0.9,100,0,0.101349517480527,0.0119289863369763,0.190770048624078,0.936,0.115100419367949,0.0997327707010259,-0.0408741014804472,0.240339642882499,0.94,0.273043768343667,,0.128458418299893,-0.124181671944134,0.349083097091448,0.95190380761523,0.280400607820069,89.228,89.228,0,-0.0897214795510002,-0.09449153780318,-0.09449153780318,,1.40478145413012,1.42425916968249,1.42425916968249,,0.2,0.256916836599787,-0.248363343888268,0.698166194182895,0.95190380761523,-0.0470307006939335,-0.0470307006939335,,0.250285525380169,0.250285525380169,,100,10.772,89.228,10
0.1,0,500,0.25,0.5,10,affirm,0.9,100,50,0.110340734194355,0.0164857189445242,0.204195749444186,0.946,0.0980814772600875,0.482907577199826,0.294362858269327,0.671452296130324,0.016,0.000498862161119369,,0.143175443257867,-0.235350606242118,0.463816729005756,0.921370967741936,0.281059675723673,44.626,44.626,0,-0.0897214795510002,-0.0949874973214341,-0.0949874973214341,,1.40478145413012,1.39477212914303,1.39477212914303,,0.2,0.286350886515735,-0.470701212484236,0.927633458011512,0.921370967741936,-0.0475003317290131,-0.0475003317290131,,0.25001278589814,0.25001278589814,,74.254,29.628,44.626,8.11898780800428
0.1,0.25,500,0,0.5,1,affirm,0,100,0,0.0994128707214922,-0.0391636884319775,0.237989429874962,0.952,0.278395038033127,0.0994128707104138,-0.040812534664967,0.239638276085795,0.952,0.280201934884467,,0.14683267409995,-0.121832661603375,0.352451786434814,0.945783132530121,0.295224033174985,89.444,89.444,0,-0.0897214795510002,-0.0899916495003655,-0.0899916495003655,,1.40478145413012,1.42113966233283,1.42113966233283,,0.2,0.293665348199899,-0.243665323206749,0.704903572869628,0.945783132530121,-0.0446411604324165,-0.0446411604324165,,0.250115316618485,0.250115316618485,,100,10.556,89.444,1
0.1,0.25,500,0,0.5,1,affirm,0,100,50,0.0984941634624614,-0.0399349933854211,0.236923320310344,0.942,0.27041254459116,0.214841988103834,0.00787439360938913,0.421809582598279,0.808,0.131242298702282,,0.150375342090942,-0.233556070959856,0.481256381451625,0.939637826961771,0.297471569264467,44.616,44.616,0,-0.0897214795510002,-0.0956458622087124,-0.0956458622087124,,1.40478145413012,1.42516724451901,1.42516724451901,,0.2,0.300750684181884,-0.467112141919713,0.96251276290325,0.939637826961771,-0.0474792671370328,-0.0474792671370328,,0.249965820672906,0.249965820672906,,55.306,10.69,44.616,1
0.1,0.25,500,0,0.5,10,affirm,0,100,0,0.100666023696618,-0.00187388279190468,0.203205930185141,0.952,0.146874747141713,0.103573353188314,-0.0363663145370525,0.243513020913681,0.948,0.250843576786966,,0.130814869574601,-0.117934358314779,0.353395696309224,0.933867735470942,0.271570532408726,89.418,89.418,0,-0.0897214795510002,-0.0829754281970303,-0.0829754281970303,,1.40478145413012,1.40633276077023,1.40633276077023,,0.2,0.261629739149201,-0.235868716629559,0.706791392618447,0.933867735470942,-0.0411822486397565,-0.0411822486397565,,0.250256008806637,0.250256008806637,,100,10.582,89.418,10
0.1,0.25,500,0,0.5,10,affirm,0,100,50,0.0980520565867622,-0.00738106466129017,0.203485177834815,0.944,0.173979185130747,0.44311817932132,0.25230997801605,0.63392638062659,0.042,0.000861283363049748,,0.135883112743553,-0.218963474352961,0.443470746070178,0.959758551307847,0.269594582437761,44.704,44.704,0,-0.0897214795510002,-0.0858705569665144,-0.0858705569665144,,1.40478145413012,1.39828061507205,1.39828061507205,,0.2,0.271766225487105,-0.437926948705921,0.886941492140356,0.959758551307847,-0.0427825373228388,-0.0427825373228388,,0.250286264465235,0.250286264465235,,71.002,26.298,44.704,8.19821939570435
0.1,0.25,500,0,0.5,10,affirm,0.9,100,0,0.0982536623049665,-0.0040250517938281,0.200532376403761,0.94,0.176038198066678,0.10118925648208,-0.0384570316214754,0.240835544585636,0.95,0.259307446559548,,0.145366042714981,-0.121374487874488,0.335297325060271,0.947686116700201,0.286928488850295,89.412,89.412,0,-0.0897214795510002,-0.0882142825956759,-0.0882142825956759,,1.40478145413012,1.39680789661919,1.39680789661919,,0.2,0.290732085429961,-0.242748975748976,0.670594650120542,0.947686116700201,-0.0438704498764745,-0.0438704498764745,,0.250118857051016,0.250118857051016,,100,10.588,89.412,10
0.1,0.25,500,0,0.5,10,affirm,0.9,100,50,0.0988701146845348,-0.00668380194403007,0.2044240313131,0.928,0.180230888952531,0.443724533951561,0.251769238982573,0.635679828920549,0.064,0.00200664171729718,,0.119092209618698,-0.226648661881243,0.454317788494365,0.92184368737475,0.261614525264213,44.566,44.566,0,-0.0897214795510002,-0.0952462683983572,-0.0952462683983572,,1.40478145413012,1.40613589996592,1.40613589996592,,0.2,0.238184419237395,-0.453297323762485,0.908635576988731,0.92184368737475,-0.0473547102933422,-0.0473547102933422,,0.250137563409095,0.250137563409095,,70.968,26.402,44.566,8.20750772552399
0.1,0.25,500,0.25,0.5,1,affirm,0,100,0,0.101147562477786,-0.0680518209614063,0.270346945916978,0.94,0.299955144361621,0.101147562475989,-0.0700909398258896,0.272386064777867,0.94,0.301893081590149,,0.120709879083551,-0.232858999216203,0.474278757383306,0.942,0.513052398172665,84.608,84.608,0,-0.286127595262072,-0.28367357167339,-0.28367357167339,,1.9057963059955,1.90956903740388,1.90956903740388,,0.2,0.241419758167103,-0.465717998432407,0.948557514766611,0.942,-0.141281714978233,-0.141281714978233,,0.250092109523973,0.250092109523973,,100,15.392,84.608,1
0.1,0.25,500,0.25,0.5,1,affirm,0,100,50,0.0955181309581217,-0.0730527036194293,0.264088965535673,0.956,0.33099066012732,0.26770489822088,0.0226430652536272,0.512766731188133,0.722,0.119338103557097,,0.14504352637496,-0.407531158716421,0.670314267097726,0.923694779116466,0.526835388923346,42.43,42.43,0,-0.286127595262072,-0.28633499291233,-0.28633499291233,,1.9057963059955,1.89228191253569,1.89228191253569,,0.2,0.290087052749921,-0.815062317432841,1.34062853419545,0.923694779116466,-0.142938497754111,-0.142938497754111,,0.250169372954363,0.250169372954363,,57.504,15.074,42.43,1
0.1,0.25,500,0.25,0.5,10,affirm,0,100,0,0.104447542309813,-0.00303677822558797,0.211931862845215,0.96,0.15055845735283,0.103189307927757,-0.0680259452101112,0.274404561065626,0.952,0.328457043411403,,0.144237602144091,-0.231563337373733,0.491361097880412,0.949899799599198,0.534496884892549,84.654,84.654,0,-0.286127595262072,-0.277525868745819,-0.277525868745819,,1.9057963059955,1.9113667194327,1.9113667194327,,0.2,0.288475204288181,-0.463126674747466,0.982722195760825,0.949899799599198,-0.138247855782287,-0.138247855782287,,0.250188666877059,0.250188666877059,,100,15.346,84.654,10
0.1,0.25,500,0.25,0.5,10,affirm,0,100,50,0.130157731151767,0.0137861616645573,0.246529300638977,0.928,0.111156482515587,0.581301249664507,0.370718777481913,0.791883721847101,0.002,0.000103443747622368,,0.157338221384382,-0.410639642128079,0.641476009071668,0.926977687626775,0.557655360919229,42.434,42.434,0,-0.286127595262072,-0.303233208144791,-0.303233208144791,,1.9057963059955,1.92287892833394,1.92287892833394,,0.2,0.314676442768764,-0.821279284256157,1.28295201814334,0.926977687626775,-0.151065338035773,-0.151065338035773,,0.250159954197011,0.250159954197011,,80.932,38.498,42.434,7.64258632758656
0.1,0.25,500,0.25,0.5,10,affirm,0.9,100,0,0.101059528780263,-0.0310318159686573,0.233150873529184,0.944,0.246637144257474,0.104555589284971,-0.0665992754994431,0.275710454069385,0.952,0.31613950923402,,0.142338710723424,-0.230420612570548,0.487359459100611,0.953907815631263,0.529079284602636,84.674,84.674,0,-0.286127595262072,-0.27534762283748,-0.27534762283748,,1.9057963059955,1.90357903891828,1.90357903891828,,0.2,0.284677421446848,-0.460841225141096,0.974718918201221,0.953907815631263,-0.137115146646473,-0.137115146646473,,0.250207491605554,0.250207491605554,,100,15.326,84.674,10
0.1,0.25,500,0.25,0.5,10,affirm,0.9,100,50,0.109671533531613,-0.0275608720562417,0.246903939119468,0.942,0.227769573704717,0.503554681837485,0.286485241264868,0.720624122410101,0.024,0.000751060611926049,,0.149973045810799,-0.422449346606312,0.700451667640084,0.929718875502008,0.561075399735048,42.228,42.228,0,-0.286127595262072,-0.302838460263042,-0.302838460263042,,1.9057963059955,1.95643887252634,1.95643887252634,,0.2,0.299946091621598,-0.844898693212623,1.40090333528017,0.929718875502008,-0.150880969885449,-0.150880969885449,,0.250225073264325,0.250225073264325,,74.702,32.474,42.228,7.89522674670588
